Latitude,Longitude,Elevation
45.44434000,-71.1205900,1024.0
45.44436000,-71.1205900,1024.0
45.44441000,-71.1205600,1025.0
45.44444000,-71.1205500,1025.0
45.44451000,-71.1206000,1026.0
45.44454000,-71.1206000,1027.0
45.44456000,-71.1205900,1027.0
45.44460000,-71.1205500,1029.0
45.44465000,-71.1205200,1030.0
45.44470000,-71.1205100,1031.0
45.44479000,-71.1205100,1033.0
45.44486000,-71.1204900,1034.0
45.44495000,-71.1204200,1036.0
45.44500000,-71.1203700,1037.0
45.44502000,-71.1203400,1038.0
45.44504000,-71.1202900,1039.0
45.44507000,-71.1202300,1040.0
45.44510000,-71.1202000,1041.0
45.44516000,-71.1201300,1043.0
45.44532000,-71.1199800,1046.0
45.44540000,-71.1199100,1046.0
45.44545000,-71.1198800,1046.0
45.44553000,-71.1198500,1046.0
45.44556000,-71.1198500,1046.0
45.44571000,-71.1198800,1048.0
45.44575000,-71.1198700,1048.0
45.44578000,-71.1198600,1048.0
45.44581000,-71.1198500,1048.0
45.44583000,-71.1198200,1048.0
45.44585000,-71.1197900,1047.0
45.44586000,-71.1197700,1047.0
45.44591000,-71.1197300,1047.0
45.44595000,-71.1197000,1047.0
45.44599000,-71.1197100,1048.0
45.44609000,-71.1197500,1048.0
45.44620000,-71.1197800,1050.0
45.44625000,-71.1198100,1051.0
45.44632000,-71.1198400,1052.0
45.44638000,-71.1198400,1053.0
45.44644000,-71.1198500,1054.0
45.44650000,-71.1199200,1055.0
45.44655000,-71.1199800,1056.0
45.44660000,-71.1200300,1056.0
45.44664000,-71.1200500,1057.0
45.44670000,-71.1200500,1058.0
45.44678000,-71.1200100,1059.0
45.44685000,-71.1199900,1059.0
45.44695000,-71.1199800,1061.0
45.44698000,-71.1199700,1061.0
45.44700000,-71.1199600,1062.0
45.44702000,-71.1199400,1062.0
45.44707000,-71.1198700,1063.0
45.44710000,-71.1198600,1063.0
45.44714000,-71.1198600,1064.0
45.44718000,-71.1198800,1065.0
45.44721000,-71.1199100,1066.0
45.44725000,-71.1199100,1066.0
45.44731000,-71.1198800,1066.0
45.44736000,-71.1198500,1066.0
45.44742000,-71.1198400,1067.0
45.44746000,-71.1198500,1067.0
45.44750000,-71.1198700,1068.0
45.44751000,-71.1199400,1069.0
45.44751000,-71.1200000,1070.0
45.44751000,-71.1200200,1071.0
45.44752000,-71.1200300,1071.0
45.44755000,-71.1200800,1071.0
45.44760000,-71.1201100,1070.0
45.44764000,-71.1201500,1071.0
45.44765000,-71.1202100,1071.0
45.44768000,-71.1202700,1072.0
